Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Tennessee,SEC,1,1,12,0.6547,9,0.6414,39-16,16,23-7,1,16-9,9-5,7-3,8-12,11-4,7-0,13-0,26-16,9-0,10,0.60414,1
Oregon,Pac-12,2,2,17,0.63733,16,0.62193,31-17,5,21-3,2,10-14,14-8,6-4,0-11,9-4,14-2,8-0,23-17,2-0,3,0.61828,1
LSU,SEC,3,3,22,0.63004,20,0.61534,34-21,22,21-9,1,13-12,9-8,5-5,7-15,10-4,9-2,8-0,26-21,2-0,9,0.60423,1
Clemson,ACC,4,5,8,0.66091,10,0.63921,39-15,13,23-4,3,16-11,10-6,6-4,10-13,9-2,9-0,11-0,28-15,9-0,66,0.54792,1
Mississippi St.,SEC,5,4,30,0.60545,29,0.59845,33-24,36,22-9,1,11-15,5-11,4-6,8-16,4-2,10-4,11-2,22-22,8-1,36,0.57096,1
Utah,Pac-12,6,6,45,0.57959,42,0.57679,27-27,49,18-12,2,9-15,7-12,5-5,4-12,5-11,5-3,13-1,14-26,6-1,24,0.58218,0
Arkansas,SEC,7,7,4,0.67698,4,0.66298,44-9,12,22-4,1,22-5,13-3,9-1,11-5,17-4,8-0,8-0,36-9,3-0,45,0.56622,1
Virginia Tech,ACC,8,8,2,0.70234,2,0.66874,41-7,3,19-4,3,22-3,17-5,9-1,12-5,7-1,17-1,5-0,36-7,4-0,1,0.63942,1
Washington,Pac-12,9,12,16,0.64603,14,0.62783,35-15,10,21-5,2,14-10,9-5,6-4,9-8,9-4,7-3,10-0,25-15,8-0,30,0.57649,1
Alabama,SEC,10,9,5,0.67448,6,0.64928,41-11,4,25-2,1,16-9,11-6,5-5,13-8,11-3,8-0,9-0,32-11,8-0,8,0.60674,1
Minnesota,Big Ten,11,11,35,0.59616,37,0.57936,26-24-1,28,15-11-1,5,11-13,7-13-1,6-4,5-10-1,4-9,5-3,12-2,14-22-1,4-0,2,0.6211,1
Pittsburgh,ACC,12,10,95,0.53264,95,0.53124,14-27,71,12-7,3,2-20,2-11,1-9,1-13,0-1,4-9,9-4,5-23,6-1,90,0.53446,0
Kansas,Big 12,13,13,92,0.53464,98,0.52764,16-34,78,13-18,4,3-16,3-11,2-8,1-12,2-10,5-9,8-3,8-31,5-0,13,0.59696,0
Missouri,SEC,14,18,18,0.63617,22,0.61377,36-20,23,21-8,1,15-12,8-9,7-3,9-10,14-6,4-3,9-1,27-19,7-1,49,0.56281,1
Michigan,Big Ten,15,16,21,0.63053,19,0.61793,36-16,24,20-7,5,16-9,11-6,8-2,8-8,5-5,6-3,17-0,19-16,10-0,26,0.58132,1
Texas A&M,SEC,16,15,40,0.5862,38,0.5792,29-26,40,22-7,1,7-19,2-14,2-8,6-20,3-4,6-2,14-0,15-26,11-0,101,0.52989,1
Florida,SEC,17,14,13,0.65073,13,0.63043,43-16,15,28-4,1,15-12,15-4,7-3,9-11,13-3,3-1,18-1,25-15,11-0,72,0.54358,1
Louisville,ACC,18,17,44,0.58323,46,0.57553,27-25,42,17-9,3,10-16,6-14,3-7,3-16,1-2,12-6,11-1,16-24,8-0,42,0.56847,0
South Carolina,SEC,19,19,50,0.57182,54,0.56202,26-30,34,23-8,1,3-22,3-13,1-9,3-21,1-7,6-2,16-0,10-30,10-0,71,0.54381,0
Texas,Big 12,20,21,14,0.6484,17,0.619,38-17-1,8,25-10-1,4,13-7,12-6,6-4,5-13,4-2-1,20-1,9-1,29-16-1,4-0,6,0.60728,1
North Carolina,ACC,21,20,62,0.55949,59,0.55529,23-28,55,16-10,3,7-18,4-15,2-8,1-17,3-3,10-6,9-2,14-26,7-1,54,0.55773,0
Kentucky,SEC,22,22,24,0.62516,23,0.61256,35-17,25,22-5,1,13-12,11-7,5-5,6-12,12-4,2-1,15-0,20-17,11-0,87,0.53533,1
Oklahoma St.,Big 12,23,28,7,0.67102,11,0.63882,41-12,7,24-8,4,17-4,12-7,5-5,8-8,10-2,14-1,9-1,32-11,5-0,14,0.59365,1
Arizona St.,Pac-12,24,24,10,0.657,7,0.6458,39-9,27,19-5,2,20-4,10-3,7-3,9-3,12-3,6-3,12-0,27-9,7-0,91,0.53382,1
Ole Miss,SEC,25,23,26,0.62045,21,0.61415,39-17,26,26-4,1,13-13,9-8,7-3,10-12,5-3,5-1,19-1,20-16,10-0,115,0.5233,1
California,Pac-12,26,26,53,0.5684,50,0.5642,28-27-1,59,20-11-1,2,8-16,6-16-1,3-7,3-10,5-10,4-3-1,16-4,12-23-1,11-0,78,0.54005,0
Georgia Tech,ACC,27,25,23,0.62766,24,0.61226,37-16,18,25-2,3,12-14,10-8,6-4,2-12,6-2,15-2,14-0,23-16,8-0,125,0.51781,1
Ohio St.,Big Ten,28,30,25,0.62281,26,0.60811,35-15,20,20-5,5,15-10,13-5,7-3,2-7,7-4,9-3,17-1,18-14,8-0,29,0.57716,1
Iowa St.,Big 12,29,29,59,0.56153,58,0.55663,28-27,57,21-14,4,7-13,9-12,7-3,1-12,2-2,11-10,14-3,14-24,10-1,40,0.56948,0
Boston College,ACC,30,31,84,0.54059,82,0.54059,20-27,73,14-9,3,6-18,8-13,2-8,2-12,0-2,8-12,10-1,10-26,9-0,82,0.5386,0
UCLA,Pac-12,31,27,6,0.67284,5,0.65114,43-8,9,24-3,2,19-5,8-4,7-3,10-5,14-3,8-0,11-0,32-8,9-0,96,0.53223,1
Florida St.,ACC,32,35,3,0.69949,3,0.66589,52-5,2,30-0,3,22-5,19-1,10-0,19-2,0-0,18-3,15-0,37-5,8-0,45,0.56622,1
Duke,ACC,33,32,9,0.6593,8,0.6446,41-8,14,20-4,3,21-4,14-5,7-3,8-6,4-1,18-1,11-0,30-8,7-0,41,0.56876,1
Northwestern,Big Ten,34,33,11,0.65526,12,0.63356,40-10,6,20-5,5,20-5,10-4,7-3,10-5,6-3,6-2,18-0,22-10,8-0,12,0.59919,1
Virginia,ACC,35,37,56,0.56368,52,0.56368,27-24,109,14-11,3,13-13,9-11,5-5,3-12,1-6,13-3,10-3,17-21,9-2,166,0.4928,0
Charlotte,C-USA,36,34,33,0.59851,39,0.57891,35-23,19,21-9,7,14-14,9-10,7-3,1-6,6-6,15-8,13-3,22-20,6-2,5,0.60776,0
Texas Tech,Big 12,37,38,81,0.54708,79,0.54218,22-27,64,17-13,4,5-14,5-8,3-7,1-17,1-3,6-6,14-1,8-26,11-1,58,0.55522,0
Stanford,Pac-12,38,40,31,0.60245,31,0.59265,36-19,35,25-6,2,11-13,12-10,4-6,7-10,7-5,1-3,21-1,15-18,16-0,129,0.51653,1
Georgia,SEC,39,39,20,0.63115,25,0.61015,40-16,17,28-3,1,12-13,6-7,4-6,7-8,10-7,7-1,16-0,24-16,14-0,117,0.52227,1
Oregon St.,Pac-12,40,36,37,0.59245,33,0.58685,33-19,31,24-4,2,9-15,10-9,2-8,1-13,6-4,6-0,20-2,13-17,11-1,133,0.51229,1
Oklahoma,Big 12,41,42,1,0.70491,1,0.67201,49-2,1,30-0,4,19-2,15-1,9-1,8-2,6-0,27-0,8-0,41-2,2-0,37,0.57014,1
UAB,C-USA,42,41,75,0.55084,74,0.54664,25-24,74,12-13,7,13-11,8-10,4-6,0-5,2-7,9-8,14-4,11-20,10-2,20,0.5864,0
Wisconsin,Big Ten,43,43,38,0.59223,44,0.57613,28-19,33,15-7,5,13-12,10-6,3-7,3-8,6-8,5-2,14-1,14-18,8-1,59,0.55497,1
UCF,AAC,44,45,15,0.6472,15,0.6227,46-12,11,28-10,6,18-2,13-3,8-2,4-7,10-4,10-1,22-0,24-12,12-0,16,0.59012,1
Illinois,Big Ten,45,44,34,0.59716,35,0.58106,34-20,38,19-12,5,15-8,14-10,6-4,3-10,8-4,6-4,17-2,17-18,8-0,33,0.57415,1
San Diego,WCC,46,45,111,0.5158,128,0.5046,20-34,90,15-25,13,5-9,5-10,1-9,0-2,4-6,1-17,15-9,5-25,13-3,19,0.58648,0
Iowa,Big Ten,47,47,102,0.52832,105,0.52132,21-31,53,18-10,5,3-21,7-11,3-7,0-9,4-11,5-6,12-5,9-26,7-0,79,0.53906,0
Nebraska,Big Ten,48,51,28,0.6126,27,0.6049,40-14,44,20-9,5,20-5,12-8,7-3,5-3,7-4,10-5,18-2,22-12,5-0,65,0.54854,1
Houston,AAC,49,48,77,0.54922,80,0.54082,27-27-1,63,18-17,6,9-10-1,5-7-1,4-6,2-8,3-8,2-6,20-5-1,7-22,14-3,32,0.57434,0
Tulsa,AAC,50,52,114,0.51334,116,0.51194,18-30-1,117,11-20,6,7-10-1,5-16,4-6,0-8,1-10,6-8-1,11-4,7-26-1,10-3,31,0.57449,0
South Alabama,Sun Belt,51,49,67,0.55484,67,0.55134,25-21,91,8-13,8,17-8,10-7,6-4,0-6,1-6,6-7,18-2,7-19,9-0,22,0.58447,0
Arizona,Pac-12,52,53,43,0.58377,45,0.57607,33-20,39,25-4,2,8-16,6-8,6-4,3-12,5-5,7-3,18-0,15-20,17-0,182,0.4809,1
Baylor,Big 12,53,50,63,0.5582,68,0.5512,28-24,54,22-10,4,6-14,8-6,4-6,2-12,0-1,9-8,17-3,11-21,10-2,113,0.52484,0
Indiana,Big Ten,54,55,71,0.55329,60,0.55469,27-22,75,16-8,5,11-14,5-11,4-6,1-9,3-9,2-3,21-1,6-21,10-1,154,0.50122,0
FGCU,ASUN,55,54,132,0.50357,142,0.49937,18-33,101,9-18,11,9-15,5-12,5-5,2-9,0-7,6-3,10-14,8-19,7-8,11,0.59981,0
